Crop,Season,Area_Hectares,Yield_Tonnes
Cotton,Kharif,3.4918988333248335,8.450395176646099
Rice,Kharif,6.375502740298875,28.05221205731505
Sugarcane,Zaid,5.829315813885993,349.7589488331596
Wheat,Zaid,5.781391785761806,14.800362971550223
Wheat,Kharif,1.561072262601173,5.494974364356129
Maize,Zaid,7.420146272960972,22.557244669801356
Maize,Zaid,1.2742493746023476,3.873718098791137
Wheat,Rabi,4.187320037138129,12.729452912899912
Maize,Zaid,1.9438224987923283,5.909220396328678
Cotton,Rabi,6.075685828169528,12.698183380874314
Rice,Zaid,1.8028389584085058,5.769084666907219
Sugarcane,Kharif,9.014745526659055,743.7165059493722
Sugarcane,Kharif,7.111920872300407,586.7334719647836
Maize,Kharif,5.485979790361515,22.931395523711135
Sugarcane,Zaid,7.631402278554216,457.884136713253
Rice,Zaid,4.408953633561604,14.108651627397135
Cotton,Rabi,9.09682657430511,19.01236754029768
Wheat,Zaid,4.204870533080616,10.764468564686377
Cotton,Rabi,6.451973374211985,13.484624352103049
Rice,Kharif,1.9160422535836337,8.430585915767988
Sugarcane,Rabi,2.679103216461752,190.88610417289982
Rice,Zaid,1.4647193008706156,4.687101762785971
Cotton,Zaid,9.069492366766188,15.962306565508491
Sugarcane,Zaid,8.789564133045822,527.3738479827493
Rice,Rabi,2.5379882865105925,9.644355488740251
Maize,Rabi,9.364383902148273,33.80542588675526
Maize,Rabi,3.5198118429425573,12.706520753022632
Sugarcane,Kharif,2.6833937370177106,221.37998330396115
Sugarcane,Zaid,2.795562346044878,167.7337407626927
Sugarcane,Kharif,5.76856020863005,475.90621721197914
Rice,Rabi,7.910015512985549,30.058058949345085
Cotton,Rabi,2.389264437467821,4.9935626743077455
Sugarcane,Kharif,5.793304892964272,477.9476536695525
Rice,Rabi,4.029438503745285,15.311866314232084
Wheat,Kharif,1.5703747342549097,5.527719064577283
Sugarcane,Rabi,3.9011846047725065,277.95940309004106
Wheat,Kharif,2.2494229609781833,7.917968822643207
Rice,Kharif,2.050264577275132,9.021164140010582
Maize,Rabi,1.9602932510209246,7.076658636185537
Cotton,Rabi,7.713770729938463,16.12178082557139
Wheat,Rabi,9.396442603899592,28.56518551585476
Maize,Kharif,2.845016290479135,11.892168094202786
Maize,Zaid,9.3380448123074,28.387656229414496
Sugarcane,Kharif,2.2579513896366055,186.28098964502
Rice,Kharif,2.8146458804297008,12.384441873890685
Maize,Kharif,2.677644881093297,11.192555602969982
Maize,Zaid,6.7038270734815955,20.37963430338405
Sugarcane,Kharif,8.894804867317974,733.8214015537329
Rice,Rabi,8.349394955244193,31.727700829927933
Maize,Kharif,3.7124008674772786,15.517835626055025
Rice,Kharif,4.198262066365563,18.47235309200848
Wheat,Rabi,1.5995720115173526,4.862698915012753
Maize,Zaid,2.0520823663752767,6.238330393780841
Maize,Zaid,7.574942231283713,23.027824383102487
Wheat,Zaid,8.907662038360943,22.803614818204018
Rice,Rabi,9.045033247458619,34.37112634034275
Sugarcane,Kharif,2.365073917594761,195.11859820156778
Rice,Kharif,3.236402258330192,14.240169936652846
Rice,Rabi,2.8409013385251694,10.795425086395642
Wheat,Rabi,5.445833384177764,16.555333487900402
Wheat,Kharif,1.9262442766973051,6.780379853974515
Cotton,Zaid,4.409394090012242,7.760533598421546
Cotton,Zaid,8.175658292015981,14.389158593948128
Cotton,Kharif,3.0632625570937733,7.413095388166933
Sugarcane,Kharif,7.480328828914669,617.1271283854603
Maize,Zaid,6.089575125906764,18.51230838275656
Wheat,Zaid,6.391264282995938,16.361636564469602
Sugarcane,Zaid,9.63167315107625,577.9003890645749
Wheat,Rabi,6.53455236837389,19.865039199856625
Wheat,Kharif,2.252045747287557,7.927201030452202
Wheat,Kharif,3.30413978668296,11.630572049124021
Sugarcane,Zaid,9.38906454235251,563.3438725411506
Sugarcane,Kharif,9.302494430595662,767.4557905241421
Wheat,Kharif,6.186595241501319,21.776815250084645
Wheat,Kharif,4.817176041721474,16.95645966685959
Cotton,Rabi,9.409303132921133,19.665443547805168
Maize,Zaid,2.105297036611604,6.400102991299277
Cotton,Kharif,2.4896845933056078,6.025036715799572
Sugarcane,Rabi,8.53741710102243,608.2909684478481
Rice,Zaid,3.8029983764107707,12.169594804514468
Maize,Zaid,4.591024334831173,13.956713977886764
Rice,Kharif,4.016775174813109,17.67381076917768
Sugarcane,Kharif,1.0416882070414257,85.93927708091762
Rice,Zaid,4.58351824231849,14.66725837541917
Rice,Rabi,9.278700547714845,35.25906208131641
Wheat,Zaid,4.122578817066049,10.553801771689088
Wheat,Zaid,5.069961468008264,12.97910135810116
Maize,Zaid,5.07195564519424,15.41874516139049
Maize,Rabi,2.58748287855601,9.340813191587195
Sugarcane,Rabi,1.3049124422193548,92.97501150812903
Rice,Kharif,8.024461367914789,35.30763001882507
Maize,Rabi,2.9808749267298733,10.760958485494841
Wheat,Kharif,5.636563141661314,19.840702258647827
Rice,Kharif,2.3379645497780164,10.287044019023273
Sugarcane,Zaid,9.971868266613527,598.3120959968116
Rice,Zaid,6.358465155880394,20.34708849881726
Cotton,Rabi,7.7496442335926,16.196756448208536
Maize,Zaid,4.144482991443997,12.599228293989752
Cotton,Kharif,1.328947010632854,3.2160517657315073
Maize,Rabi,3.646402112988744,13.163511627889363
